GEO ID,State Abbreviation,State,Year,State PrEP Users,State PrEP Rates,State PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55+ PrEP Users,Age 55+ PrEP Rate,Age 55+ PrEP Rate Stability
42,PA,Pennsylvania,2014,944,9,Y,638,12,Y,306,5,Y,158,8,Y,381,23,Y,212,14,Y,123,7,Y,67,2,Y
44,RI,Rhode Island,2014,204,23,Y,143,33,Y,61,13,Y,37,20,Y,81,59,Y,40,32,Y,28,18,Y,18,6,Y
45,SC,South Carolina,2014,198,5,Y,133,7,Y,65,3,Y,32,4,Y,78,13,Y,49,8,Y,25,4,Y,13,1,Y
46,SD,South Dakota,2014,23,3,Y,19,5,Y,4,1,N,6,4,N,8,7,N,7,7,N,1,1,N,1,0,N
47,TN,Tennessee,2014,288,5,Y,204,8,Y,84,3,Y,30,3,Y,92,11,Y,85,10,Y,54,6,Y,27,1,Y
48,TX,Texas,2014,1882,9,Y,1353,13,Y,529,5,Y,269,6,Y,651,17,Y,489,13,Y,329,10,Y,149,2,Y
49,UT,Utah,2014,157,7,Y,115,10,Y,42,4,Y,31,5,Y,60,14,Y,36,9,Y,21,7,Y,8,1,N
50,VT,Vermont,2014,35,6,Y,24,9,Y,11,4,N,4,4,N,12,16,Y,9,12,N,7,8,N,3,1,N
51,VA,Virginia,2014,572,8,Y,394,12,Y,178,5,Y,89,7,Y,191,16,Y,145,13,Y,103,9,Y,44,2,Y
53,WA,Washington,2014,851,14,Y,694,24,Y,157,5,Y,101,9,Y,284,28,Y,226,24,Y,169,18,Y,75,4,Y
54,WV,West Virginia,2014,68,4,Y,47,6,Y,21,3,Y,17,6,Y,19,9,Y,18,8,Y,12,5,Y,2,0,N
55,WI,Wisconsin,2014,228,5,Y,169,7,Y,59,2,Y,51,5,Y,75,10,Y,62,9,Y,29,4,Y,11,1,N
56,WY,Wyoming,2014,8,2,N,6,2,N,2,1,N,1,1,N,4,5,N,3,4,N,-1,-1,N,-1,-1,N
72,PR,Puerto Rico,2014,24,1,Y,14,1,Y,10,1,N,9,1,N,5,1,N,5,1,N,3,1,N,2,0,N
1,AL,Alabama,2015,440,11,Y,339,17,Y,101,5,Y,53,7,Y,166,27,Y,105,17,Y,78,12,Y,41,3,Y
2,AK,Alaska,2015,57,9,Y,46,14,Y,11,4,N,10,8,N,20,17,Y,8,9,N,16,17,Y,3,2,N
4,AZ,Arizona,2015,739,13,Y,592,21,Y,147,5,Y,89,8,Y,269,29,Y,180,21,Y,144,17,Y,63,3,Y
5,AR,Arkansas,2015,221,9,Y,189,16,Y,32,3,Y,24,5,Y,100,26,Y,50,14,Y,32,8,Y,15,2,Y
6,CA,California,2015,8097,25,Y,7378,46,Y,719,4,Y,765,12,Y,2655,46,Y,2112,41,Y,1782,34,Y,830,8,Y
8,CO,Colorado,2015,836,18,Y,679,30,Y,157,7,Y,122,14,Y,329,40,Y,185,25,Y,153,21,Y,53,4,Y
9,CT,Connecticut,2015,919,30,Y,690,47,Y,229,14,Y,166,28,Y,380,86,Y,185,43,Y,129,24,Y,61,6,Y
10,DE,Delaware,2015,168,21,Y,128,33,Y,40,10,Y,22,15,Y,73,58,Y,29,26,Y,27,21,Y,18,6,Y
11,DC,District of Columbia,2015,1024,177,Y,969,354,Y,55,18,Y,86,80,Y,373,244,Y,302,314,Y,193,250,Y,76,52,Y
12,FL,Florida,2015,4081,24,Y,3349,40,Y,732,8,Y,387,13,Y,1408,54,Y,1003,41,Y,897,33,Y,399,6,Y
13,GA,Georgia,2015,1654,20,Y,1353,33,Y,301,7,Y,204,12,Y,552,40,Y,414,30,Y,359,26,Y,130,5,Y
15,HI,Hawaii,2015,156,13,Y,126,21,Y,30,5,Y,18,8,Y,53,25,Y,39,22,Y,27,15,Y,20,5,Y
16,ID,Idaho,2015,98,7,Y,84,13,Y,14,2,Y,17,6,Y,38,18,Y,25,12,Y,14,7,Y,5,1,N
17,IL,Illinois,2015,3444,32,Y,3046,58,Y,398,7,Y,413,20,Y,1385,78,Y,920,55,Y,539,31,Y,203,6,Y
